id	filename	md5	size	state
04620cc5-c308-4d12-8d83-cfadc8cd3267	edc8824b-e337-47be-8f6e-9a7516e69df0.FPKM-UQ.txt.gz	96c6d34fd1add2f93108c610e61e449a	499119	live
046a4953-e614-4c69-963e-e7076cbe4530	3146ecff-1993-48e6-9777-79478172f685.FPKM.txt.gz	90d36c65afc32554d4f918d6624fcd77	529382	live
048b4777-a420-4b0a-b88a-57456746b526	363209a4-9d1d-450e-b9f4-e35400fd76f6.htseq.counts.gz	58d28de658e3d470fe24f9222d29d7c4	257146	live
0490f2a2-5a9f-479c-a8c0-b8d6be7babe1	1d0e6401-4b08-4087-946d-0b99f250c704.htseq.counts.gz	c7bc22078fa2736dab499ab5273fabc7	247280	live
04969c80-7b53-47c5-9796-39a1386aa9b0	a97865ce-8a94-43aa-8998-4fc336300c77.FPKM.txt.gz	a793be0f35eb2b531fb5996ef24c5732	537584	live
04a540b2-aa25-44eb-8f86-56fcd7636875	a772773c-9c24-4eb0-bd27-70c8a72b2f51.FPKM.txt.gz	90694fc9dfb7242de1785a3987fefa85	499696	live
05582be3-0f99-4ea2-8c37-7fa23dcc67c5	21b1c050-5bb4-44a1-8fcc-4819d6f14c01.FPKM.txt.gz	0c68b2e6dea071f232afc1fbecc27db5	528903	live
05679136-9b0b-4375-a937-6e87a013de4d	07aa2816-d18f-4d88-b5fb-28d7c4492f68.FPKM.txt.gz	5fd4426460f84eaa255c0deaec21e514	500557	live
058d9d24-51b6-4e12-a0d5-5356575c0008	ae9e2486-4cc2-4bf6-bbeb-c467833080d7.FPKM.txt.gz	1c40ef08f81f079e0f7871f92e44ce25	530073	live
05cbea1f-fb0b-4422-95a1-89b7bfea5f32	8cbca0d4-0cbd-47b8-8643-331c67840817.htseq.counts.gz	2392c65cc88665731e9cfb8e84bb42f4	255499	live
06569be2-8c01-4c2f-9ddf-99a4851c0c9d	0a923c09-5f30-4e5c-adef-baca0c461227.htseq.counts.gz	5a0435cdbc24d41ef547aa005b8612f1	252214	live
0679d44b-c2c0-47dd-8545-8bc42f1efceb	97e8bc29-7d59-468a-8776-cfd294f05bba.FPKM-UQ.txt.gz	5d5d2118026e9a60c9612fe3b13424f0	515807	live
067e8aea-7737-46b4-8ce7-2ce46ac0ce2d	5025d160-6457-445e-89b7-f8597e86126d.FPKM-UQ.txt.gz	a2811197960f417d439f8b5fc2be9d27	518005	live
068af932-2cb0-4f7c-b4bd-42ebbea91d58	497d8716-c8a0-4b3d-b0ec-b491f0f056cd.htseq.counts.gz	d01f51973a6435bfd6456eeed06d905a	259248	live
06a84580-c984-4aff-a75e-d0a252667028	b925d6df-8e61-4c3c-84fb-242c5d2c7f38.FPKM-UQ.txt.gz	8297ae0b03aec0bd3c80651f8733d8ce	505578	live
06a88218-698d-43c9-b55c-830ce007fd4f	443da90b-2658-4864-aede-3dcea543cf74.htseq.counts.gz	8292e0369de98f6e9ea4e5013288196b	247699	live
06d23f76-046f-4e06-a4e2-4ff2960a2b44	9e6b50ac-cb34-45c2-b3bd-e844b0c386e2.htseq.counts.gz	d61744578936ab3812252dcc19333168	251933	live
0706dfcc-3ab1-4c1d-a20e-ecf204625cb1	f4906ab8-6dc3-4e7f-b837-4d6227781e63.FPKM.txt.gz	0ec96719d6b2e4f725e932486d409609	516304	live
0754cb6e-797a-44b0-8f8d-8ed32b565714	c2827306-b3a3-471b-ba51-f8dbc2572d56.FPKM.txt.gz	2233c9d86d7dfc88e18ffb30e9f5c506	517455	live
07605fd3-8e31-41c7-ada6-e55c92833b15	41b7e78d-d2b0-4ddd-af2b-3baf02212387.FPKM.txt.gz	46d9e6f69281968602314e358f9abb5c	494625	live
07f53304-5d81-4a02-b8f0-95ae9a3b0fab	64bfb99a-508d-4f1e-9365-58745a59d518.FPKM.txt.gz	a769b2f34fd9f8a0593c6fa0f573799a	499913	live
0819e997-bba2-4d41-8b75-25696a77def0	430669ee-998d-4917-83b6-ee7f0b6cae46.FPKM.txt.gz	81da01f5f787129ca57bb6bd3a5736c4	518001	live
0831295a-0c4f-4828-8c3d-cbdbe480febb	8b570809-0606-4671-9a9f-9797287a8e3b.htseq.counts.gz	bb7e3b68514d6d3433262aa34b3c89a6	255218	live
088e1616-d6bf-4dd7-afac-7caa9c8e2c8e	bce05ff9-b5e8-4c9a-a495-5430e442ea1f.FPKM.txt.gz	fb6c7390c487887a83614c5868404139	529199	live
08fe7d9d-05b0-46dd-a4f7-2794b88d3a1e	984e48d4-d2d0-4dee-957a-20a9d1150781.htseq.counts.gz	fdb1a47c512c83de235d6b21952cddb3	251262	live
090d617e-cc2e-41ff-af4a-f1a33fb641a3	acb3e352-b255-4c41-b90f-5e5ed2273b06.FPKM.txt.gz	a3271288d72b1cbfcac0b05b5041d691	508627	live
097d11d3-f77b-4ee1-9bdf-c6ff5c807e97	494ca558-baef-4580-9662-19f2b8527858.htseq.counts.gz	31aa72f22dbf99d7ea8aff860bb18b97	255841	live
09aeafca-0249-42b1-bcbe-784b30985e36	926b6dfe-cd94-4fae-bc95-18dec0f49145.htseq.counts.gz	018cf4e164aff3ae554caa354b80779d	254188	live
09be745b-ea94-4f93-a3fb-26a2b6b8f6d6	f8032464-fd4f-4927-8f28-d0fc90e35669.htseq.counts.gz	2c1dd5359f3df130fe127875882d1d4b	253709	live
09d1cda5-5283-4d1c-8c35-ef77c5ea8b50	16785558-44bf-435f-b259-55d61b0f8b95.FPKM.txt.gz	420cecdf56b435a793008052457cec71	532095	live
