id	filename	md5	size	state
00011154-9a17-45bf-8ffe-dd7c09adabda	1a13663e-9015-4eeb-ab6a-8f40a8bbf403.FPKM.txt.gz	d9e2c8f09475bdb7246514e4168cc368	503188	live
001ae925-102c-4818-8eb0-c8d2e5726e7c	d3f73c0f-d518-4e91-b038-a4360495ee27.htseq.counts.gz	a20fd7085b4d1b35e228d65ae2cee800	255968	live
00782bca-2793-40a5-bfc9-33daebb8712e	a4b9a319-8f66-494e-8ada-530a1e8145d7.FPKM.txt.gz	0f63a2a5c2b0c91e99dd120be8f16b6c	502721	live
0085c623-bcdd-4b71-960c-a42acd0e53e4	801c2c60-5dc2-43f7-949f-18b5a35a4ca3.htseq.counts.gz	4bfe0e3c85512a673c822fa01763cb21	255034	live
00908ee0-3e27-45fc-84f9-9e9d1773e2ca	3a8bb200-5964-4ae2-a656-c1dc40c29d71.FPKM-UQ.txt.gz	6f4f853c5909dce042bf83a4d1f430e3	521218	live
00b1ff82-f78e-4172-b1b9-44a9929709f0	b0b535b6-6600-4d7c-a22e-46b8478fe651.FPKM-UQ.txt.gz	6532bf2d0a1ae9c6eb1e86068b11fe12	515450	live
00ece55a-c86c-41ed-8a5d-67720799970a	0fef447c-5f07-4299-b602-2b6b8450c6e6.FPKM-UQ.txt.gz	1af84b3611cbf065f3ddd3c17180fdfb	529626	live
00f072a6-6db0-4dcd-b819-e664f7e827df	9fa215ae-e9ce-4f87-9c8e-b3d9574925c8.htseq.counts.gz	ec2d4e7a4d744f6698708daa4366c0a0	250343	live
01054be6-998d-421f-97cb-533d9d23f75f	fcd37843-e471-4fc3-a4fd-da8d161d36e4.FPKM.txt.gz	47ffb89dc71233b8b63aca7f6afdf9a7	516613	live
0117529e-857f-413a-afd6-a4a7f7cf6e72	73e6cc52-f4fe-4168-9dd0-d6d28879cc95.FPKM-UQ.txt.gz	2ab7ffed5a5370ed4a11d0f0c771a528	490956	live
012e5632-e932-4b24-be77-34eac2162e07	92de83d1-ba60-413c-8d21-d066505fe306.FPKM.txt.gz	6169c34f6c1685c6ac5cfd251c9aafb4	523949	live
012fa3dc-aecb-4e7d-91d2-748a9dc540e7	a8165949-f924-4c32-8ccf-4109d2899e66.FPKM.txt.gz	efe3f7e6e655daa9404e52cf163a460b	512517	live
017bc53d-88a5-4b8e-887c-b464a93d980e	bfd8c6e2-15cc-48ae-a4a3-722ab3527fb9.FPKM.txt.gz	fea058f9a9ffb8cc39ebd2df00d22600	513977	live
01852825-83a3-4856-a5d2-841620a2a48d	a4bf31ea-aae7-45d1-9728-cf40d4c4b7da.FPKM-UQ.txt.gz	bca5207bf6983383f3b0a9522af4fc17	480309	live
01c7a54b-a501-4546-860b-8ca815f11000	9792f7ee-3295-43d7-b2f9-46cfa2dd2167.FPKM-UQ.txt.gz	2c66de544c4e2aaa851ea2f9f3cdd54b	522261	live
01cfaa79-96ca-44ac-9f8a-614520c57717	956e52f2-475c-4aa3-9e99-0912e4612314.FPKM.txt.gz	832c1456ef6e702d091845f3d70ce53d	513391	live
01f76df2-6ecc-40b6-adc9-33c352a50e69	432bfb40-6587-4393-89b8-456e639152e8.FPKM.txt.gz	5cfeb1a97261c7e91238fdcefb497ec2	522952	live
022a4f97-50be-4195-b6f3-af4afb1a67f8	521cf209-e415-4352-96d7-aef7c1d564c0.FPKM-UQ.txt.gz	8a9a33a7f98d6a44b76905ed9c021835	563207	live
024420b3-7101-4b08-b69d-521cf282c6c1	df573c90-44cf-4409-b92f-f6c8aaf01737.FPKM.txt.gz	3f09155b24db79c6b666c76dbd863840	507634	live
02b2aa68-61fe-45af-8c2b-0e767df36cda	2fcd467f-4ea2-4712-ad16-217e05b135b1.htseq.counts.gz	959def0ef3c637316b50cb7928226bd0	251930	live
02f5319b-f9f7-4efb-b9f1-ebf7c470d0ea	f29a555a-3fb8-47a0-ac54-01811b6ad192.FPKM.txt.gz	d2ebb61e4405d3ca6ee55224d931121a	533246	live
0334c93d-da3a-4ee1-a63c-59d308ffceec	67de4131-2f71-415f-bac1-33bc14f6438e.FPKM.txt.gz	a98e6af539ef717da4f74bc78f53a916	547852	live
033a3728-a55c-4d7b-bffb-dd4990684f38	a73b7250-3437-4279-b3e1-1add31d7b3fc.FPKM.txt.gz	abd2f05b7d29a10b45efb0b3db42c32b	532609	live
